ID,Õpilase nimi,Maksja nimi,Kliendi tüübi ID
1,Airi Avaste,,1
2,Ülle Särg,,1
3,Anu Haug,,1
4,Sirje Saarmas,,1
5,Pille Parm,,1
6,Annika Kiil,,1
7,Helena Koger,,1
8,Krista Kaer,,1
9,Leonid Rebrov,,1
10,Kaupo Kaasik,,1
11,Sten Säinas,,1
12,Kenno Kalur,,1
13,Jaan Jaama,,1
14,Inga Ilves,,1
15,Kadri Veer,,1
16,Kätlin Kask,AS Kask,2
17,Jüri Kuusk,AS Martin,2
18,Mark Põder,AS Nurmikas,2
19,Saima Saal,AS Käoking,2
20,Tiiu Tuul,,1
21,Eve Turi,OÜ Kadakas,2
22,Anna-Liisa Viisimaa,OÜ Kuusk,2
23,Kalle Jõgi,AS Saar,2
24,Ain Sepp,AS Mänd,2
25,Marge King,AS Tamm,2
26,Illi Jaamast,OÜ Vaher,2
27,Kaili Jalast,Tallinna LV,3
28,Kristi Vedur,Tartu LV,3
29,Margit Orlov,Narva LV,3
30,Reet Raamat,Pärnu LV,3
31,Martin Muld,Riigikantselei,3
32,Kairi Kana,,1
33,Merliis Part,Rahandusministeerium,3
34,Terje Tuul,Maanteeamet,3
35,Eve Suur,Keskkonnaamet,3
36,Oskar Ohakas,Terviseamet,3
37,Juhan Tuhk,Keskkonnaministeerium,3
38,Jaan Kaer,Majandusministeerium,3
39,Ivan Orav,Rae vallavalistus,3
40,Karel Leht,Viimsi vallavalitsus,3
41,Veiko Valm,Keila vallavalitsus,3
42,Tarmo Kadaks,Rahapesu andmebüroo,3
43,Peeter Meeter,Geoloogiateenistus,3
44,Kätlin Mark,Geoloogiateenistus,3
45,Jüri Jaanso,Geoloogiateenistus,3
46,Margit Saar,Keila vallavalitsus,3
47,Saima Tamm,Keila vallavalitsus,3
48,Tiiu Kask,Keila vallavalitsus,3
49,Eve Saar,Keskkonnaministeerium,3
50,Anna-Liisa,Keskkonnaministeerium,3
51,Kalle Kurm,Keskkonnaministeerium,3
52,Ain Põld,Keskkonnaministeerium,3
53,Marge Nurme,Keskkonnaministeerium,3
54,Illi Laas,Keskkonnaministeerium,3
55,Kaili Kaska,Keskkonnaministeerium,3
56,Kristi Kaasik,OÜ Kadakas,2
57,Margit Jõe,OÜ Kadakas,2
58,Reet Rask,OÜ Kadakas,2
59,Martin Pari,AS Kask,2
60,Kairi Kukk,AS Martin,2
61,Merliis Laasik,AS Kask,2
62,Terje Tubli,AS Martin,2
63,Eve Voosk,AS Kask,2
64,Jüri Tamm,,1
65,Marja Paal,,1
66,Karl Robert Jampo,,1
67,Kristjan Mägi,,1
68,Rein Kask,,1
69,Maksim Smirnov,,1
70,Urmas Kukk,,1
71,Aivar Petrov,Rahandusministeerium,3
72,Alexander Ilves,Rahandusministeerium,3
73,Jaan Rebane,Rahandusministeerium,3
74,Marko Pärn,Rahandusministeerium,3
75,Nikolai Vassiljev,Rahandusministeerium,3
76,Artur Kuznetsov,Rahandusministeerium,3
77,Peeter Oja,Rahandusministeerium,3
78,Tarmo Luik,Rahandusministeerium,3
79,Indrek Kuusk,Rahandusministeerium,3
80,Priit Raudsepp,Rahandusministeerium,3
81,Juri Lepik,Rahandusministeerium,3
82,Sander Karu,Rahandusministeerium,3
83,Meelis Põder,Rahandusministeerium,3
84,Andrus Pavlov,Rahandusministeerium,3
85,Raivo Kallas,AS Kask,2
86,Mati Kivi,AS Kask,2
87,Jaanus Mets,AS Kask,2
88,Pavel Kangur,AS Kask,2
89,Valeri Popov,AS Kask,2
90,Siim Lõhmus,OÜ Kuusk,2
91,Marek Stepanov,OÜ Kuusk,2
92,Rasmus Liiv,OÜ Kuusk,2
93,Mihkel Laur,OÜ Kuusk,2
94,Tiit Mihhailov,OÜ Kuusk,2
95,Sergey Fjodorov,OÜ Kuusk,2
96,Oliver Teder,,1
97,Anton Jõgi,,1
98,Tanel Peterson,,1
99,Karl Ots,,1
100,Markus Toom,,1
101,Madis Kõiv,Geoloogiateenistus,3
102,Eduard Mölder,Geoloogiateenistus,3
103,Robert Leppik,Geoloogiateenistus,3
104,Janek Sokolov,,1
105,Taavi Puusepp,,1
106,Mart Raud,,1
107,Anneli Leppik,AS Tamm,2
108,Riina Puusepp,AS Tamm,2
109,Laura Raud,AS Tamm,2
110,Niina Morozov,AS Tamm,2
111,Kadri Semjonov,AS Tamm,2
112,Kristi Aleksejev,AS Tamm,2
113,Ljudmila Lebedev,AS Tamm,2
114,Merike Sild,,1
115,Maie Jakobson,,1
116,Anu Kull,,1
117,Marika Kozlov,,1
118,Eve Rand,,1
119,Tatiana Mitt,Riigikantselei,3
120,Mare Andrejev,Riigikantselei,3
121,Elena Jakovlev,,1
122,Oksana Paju,,1
123,Kristiina Sarapuu,AS Palgid,2
124,Malle Jürgenson,AS Palgid,2
125,Reet Nikolajev,AS Palgid,2
126,Annika Allik,,1
127,Jana Orav,,1
